key,text:sq,ipa:sq,audio:sq,audio source:sq,tags:sq
heavy,,,,,AnkiLangs::SQ
"light [opposite of ""heavy""]",,,,,AnkiLangs::SQ
dark,,,,,AnkiLangs::SQ
"light [opposite of ""dark""]",,,,,AnkiLangs::SQ
nuclear,,,,,AnkiLangs::SQ
famous,,,,,AnkiLangs::SQ
I,unë,/ˈunə/,,,AnkiLangs::SQ
you [singular],,,,,AnkiLangs::SQ
he,,,,,AnkiLangs::SQ
she,,,,,AnkiLangs::SQ
it,,,,,AnkiLangs::SQ
we,,,,,AnkiLangs::SQ
"you [plural, y'all]",,,,,AnkiLangs::SQ
they,,,,,AnkiLangs::SQ
